NAME,DESCRIPTION,GENE_SYMBOL,GENE_TITLE,SCORE
CCR2,C-C motif chemokine receptor 2 [Source:HGNC Symbol;Acc:HGNC:1603],null,null,1.805104
IP6K3,inositol hexakisphosphate kinase 3 [Source:HGNC Symbol;Acc:HGNC:17269],null,null,1.8018508
DNAAF3,dynein axonemal assembly factor 3 [Source:HGNC Symbol;Acc:HGNC:30492],null,null,1.7984959
ANGPTL7,angiopoietin like 7 [Source:HGNC Symbol;Acc:HGNC:24078],null,null,1.7981447
CABP4,calcium binding protein 4 [Source:HGNC Symbol;Acc:HGNC:1386],null,null,1.7969671
PLPPR1,phospholipid phosphatase related 1 [Source:HGNC Symbol;Acc:HGNC:25993],null,null,1.7950268
AKR1B10,aldo-keto reductase family 1 member B10 [Source:HGNC Symbol;Acc:HGNC:382],null,null,1.790741
KRT7,keratin 7 [Source:HGNC Symbol;Acc:HGNC:6445],null,null,1.7883745
FES,"FES proto-oncogene, tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3657]",null,null,1.7876189
LAMA3,laminin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6483],null,null,1.7867085
FLT3,fms related tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3765],null,null,1.785147
NOD2,nucleotide binding oligomerization domain containing 2 [Source:HGNC Symbol;Acc:HGNC:5331],null,null,1.7806389
SRMS,src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites [Source:HGNC Symbol;Acc:HGNC:11298],null,null,1.7801031
SLCO3A1,solute carrier organic anion transporter family member 3A1 [Source:HGNC Symbol;Acc:HGNC:10952],null,null,1.776926
SERPINE1,serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583],null,null,1.7760901
SEMA7A,semaphorin 7A (John Milton Hagen blood group) [Source:HGNC Symbol;Acc:HGNC:10741],null,null,1.775561
TTC16,tetratricopeptide repeat domain 16 [Source:HGNC Symbol;Acc:HGNC:26536],null,null,1.7745053
EGLN3,egl-9 family hypoxia inducible factor 3 [Source:HGNC Symbol;Acc:HGNC:14661],null,null,1.7673992
RGS19,regulator of G protein signaling 19 [Source:HGNC Symbol;Acc:HGNC:13735],null,null,1.7579312
SLC2A1,solute carrier family 2 member 1 [Source:HGNC Symbol;Acc:HGNC:11005],null,null,1.7569032
GSAP,gamma-secretase activating protein [Source:HGNC Symbol;Acc:HGNC:28042],null,null,1.7541028
MRC1,mannose receptor C-type 1 [Source:HGNC Symbol;Acc:HGNC:7228],null,null,1.7506288
LILRB3,leukocyte immunoglobulin like receptor B3 [Source:HGNC Symbol;Acc:HGNC:6607],null,null,1.7503322
DUSP22,dual specificity phosphatase 22 [Source:HGNC Symbol;Acc:HGNC:16077],null,null,1.7476759
CCL19,C-C motif chemokine ligand 19 [Source:HGNC Symbol;Acc:HGNC:10617],null,null,1.7463031
IGFBP7,insulin like growth factor binding protein 7 [Source:HGNC Symbol;Acc:HGNC:5476],null,null,1.7355742
ARID3A,AT-rich interaction domain 3A [Source:HGNC Symbol;Acc:HGNC:3031],null,null,1.7346276
TNFRSF1B,TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917],null,null,1.7337209
PLD3,phospholipase D family member 3 [Source:HGNC Symbol;Acc:HGNC:17158],null,null,1.7288777
TNFSF13B,TNF superfamily member 13b [Source:HGNC Symbol;Acc:HGNC:11929],null,null,1.7276168
ICAM1,intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344],null,null,1.7150049
PILRB,paired immunoglobin like type 2 receptor beta [Source:HGNC Symbol;Acc:HGNC:18297],null,null,1.7106082
CD300LB,CD300 molecule like family member b [Source:HGNC Symbol;Acc:HGNC:30811],null,null,1.7064388
ANXA5,annexin A5 [Source:HGNC Symbol;Acc:HGNC:543],null,null,1.7020408
P2RY13,purinergic receptor P2Y13 [Source:HGNC Symbol;Acc:HGNC:4537],null,null,1.6944454
FLRT3,fibronectin leucine rich transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:3762],null,null,1.6929045
MMP14,matrix metallopeptidase 14 [Source:HGNC Symbol;Acc:HGNC:7160],null,null,1.6815615
VIM,vimentin [Source:HGNC Symbol;Acc:HGNC:12692],null,null,1.6787786
P4HA1,prolyl 4-hydroxylase subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8546],null,null,1.6740497
GPR132,G protein-coupled receptor 132 [Source:HGNC Symbol;Acc:HGNC:17482],null,null,1.6708512
SERPINB8,serpin family B member 8 [Source:HGNC Symbol;Acc:HGNC:8952],null,null,1.6697173
QSER1,glutamine and serine rich 1 [Source:HGNC Symbol;Acc:HGNC:26154],null,null,1.6688194
GPR55,G protein-coupled receptor 55 [Source:HGNC Symbol;Acc:HGNC:4511],null,null,1.6659594
GSPT2,G1 to S phase transition 2 [Source:HGNC Symbol;Acc:HGNC:4622],null,null,1.664722
ST6GALNAC1,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:23614]",null,null,1.6583833
MNDA,myeloid cell nuclear differentiation antigen [Source:HGNC Symbol;Acc:HGNC:7183],null,null,1.6577497
CD101,CD101 molecule [Source:HGNC Symbol;Acc:HGNC:5949],null,null,1.655038
ONECUT2,one cut homeobox 2 [Source:HGNC Symbol;Acc:HGNC:8139],null,null,1.6519178
NUDT18,nudix hydrolase 18 [Source:HGNC Symbol;Acc:HGNC:26194],null,null,1.65169
CHRDL2,chordin like 2 [Source:HGNC Symbol;Acc:HGNC:24168],null,null,1.6516868
ADM,adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259],null,null,1.6511962
ACOD1,aconitate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:33904],null,null,1.6492081
PDCD1LG2,programmed cell death 1 ligand 2 [Source:HGNC Symbol;Acc:HGNC:18731],null,null,1.6445925
FNDC11,fibronectin type III domain containing 11 [Source:HGNC Symbol;Acc:HGNC:28764],null,null,1.6430261
RASSF10,Ras association domain family member 10 [Source:HGNC Symbol;Acc:HGNC:33984],null,null,1.642058
SOD3,superoxide dismutase 3 [Source:HGNC Symbol;Acc:HGNC:11181],null,null,1.641718
MMP25,matrix metallopeptidase 25 [Source:HGNC Symbol;Acc:HGNC:14246],null,null,1.6413106
CEACAM19,CEA cell adhesion molecule 19 [Source:HGNC Symbol;Acc:HGNC:31951],null,null,1.6398491
OLR1,oxidized low density lipoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:8133],null,null,1.6383562
ADORA2A,adenosine A2a receptor [Source:HGNC Symbol;Acc:HGNC:263],null,null,1.6376038
GBP2,guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183],null,null,1.6305914
CXCL10,C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637],null,null,1.6256676
LTC4S,leukotriene C4 synthase [Source:HGNC Symbol;Acc:HGNC:6719],null,null,1.6191448
ZBTB46,zinc finger and BTB domain containing 46 [Source:HGNC Symbol;Acc:HGNC:16094],null,null,1.6186414
MAP3K14,mitogen-activated protein kinase kinase kinase 14 [Source:HGNC Symbol;Acc:HGNC:6853],null,null,1.6164085
ZBTB7C,zinc finger and BTB domain containing 7C [Source:HGNC Symbol;Acc:HGNC:31700],null,null,1.6160254
CSMD1,CUB and Sushi multiple domains 1 [Source:HGNC Symbol;Acc:HGNC:14026],null,null,1.6150485
SERPINA10,serpin family A member 10 [Source:HGNC Symbol;Acc:HGNC:15996],null,null,1.6124744
NRROS,negative regulator of reactive oxygen species [Source:HGNC Symbol;Acc:HGNC:24613],null,null,1.610194
GPR176,G protein-coupled receptor 176 [Source:HGNC Symbol;Acc:HGNC:32370],null,null,1.6068741
CAPN5,calpain 5 [Source:HGNC Symbol;Acc:HGNC:1482],null,null,1.6066586
UNC93B1,"unc-93 homolog B1, TLR signaling regulator [Source:HGNC Symbol;Acc:HGNC:13481]",null,null,1.6052612
TNFAIP3,TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896],null,null,1.6036958
RASGRP4,RAS guanyl releasing protein 4 [Source:HGNC Symbol;Acc:HGNC:18958],null,null,1.6019838
VCAM1,vascular cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:12663],null,null,1.6010501
DUSP4,dual specificity phosphatase 4 [Source:HGNC Symbol;Acc:HGNC:3070],null,null,1.6008526
GDF3,growth differentiation factor 3 [Source:HGNC Symbol;Acc:HGNC:4218],null,null,1.5972749
SKIL,SKI like proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10897],null,null,1.5968606
CD300LD,CD300 molecule like family member d [Source:HGNC Symbol;Acc:HGNC:16848],null,null,1.596762
IL22RA2,interleukin 22 receptor subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:14901],null,null,1.594225
TACSTD2,tumor associated calcium signal transducer 2 [Source:HGNC Symbol;Acc:HGNC:11530],null,null,1.5889388
TRIM29,tripartite motif containing 29 [Source:HGNC Symbol;Acc:HGNC:17274],null,null,1.5870574
MMP28,matrix metallopeptidase 28 [Source:HGNC Symbol;Acc:HGNC:14366],null,null,1.587003
ENPP2,ectonucleotide pyrophosphatase/phosphodiesterase 2 [Source:HGNC Symbol;Acc:HGNC:3357],null,null,1.5841397
TLR2,toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848],null,null,1.5767859
ANOS1,anosmin 1 [Source:HGNC Symbol;Acc:HGNC:6211],null,null,1.5765628
CXCL3,C-X-C motif chemokine ligand 3 [Source:HGNC Symbol;Acc:HGNC:4604],null,null,1.5750134
SLC2A6,solute carrier family 2 member 6 [Source:HGNC Symbol;Acc:HGNC:11011],null,null,1.5664169
CLEC4A,C-type lectin domain family 4 member A [Source:HGNC Symbol;Acc:HGNC:13257],null,null,1.5652657
MITF,melanocyte inducing transcription factor [Source:HGNC Symbol;Acc:HGNC:7105],null,null,1.5636578
PLCB2,phospholipase C beta 2 [Source:HGNC Symbol;Acc:HGNC:9055],null,null,1.561987
AQP9,aquaporin 9 [Source:HGNC Symbol;Acc:HGNC:643],null,null,1.5604489
NOD1,nucleotide binding oligomerization domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16390],null,null,1.5592408
MYCN,"MYCN proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7559]",null,null,1.5541307
VNN3,vanin 3 [Source:HGNC Symbol;Acc:HGNC:16431],null,null,1.5525873
NLRP3,NLR family pyrin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:16400],null,null,1.5524409
LAMB3,laminin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6490],null,null,1.5510435
LY86,lymphocyte antigen 86 [Source:HGNC Symbol;Acc:HGNC:16837],null,null,1.5501033
LPCAT2,lysophosphatidylcholine acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:26032],null,null,1.5418826
ST3GAL3,"ST3 beta-galactoside alpha-2,3-sialyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:10866]",null,null,1.5411558
RASA4,RAS p21 protein activator 4 [Source:HGNC Symbol;Acc:HGNC:23181],null,null,1.539935
IFNAR2,interferon alpha and beta receptor subunit 2 [Source:HGNC Symbol;Acc:HGNC:5433],null,null,1.5391626
PDE4B,phosphodiesterase 4B [Source:HGNC Symbol;Acc:HGNC:8781],null,null,1.5369701
IL10RA,interleukin 10 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5964],null,null,1.5360464
ADGRF1,adhesion G protein-coupled receptor F1 [Source:HGNC Symbol;Acc:HGNC:18990],null,null,1.535767
TNFSF11,TNF superfamily member 11 [Source:HGNC Symbol;Acc:HGNC:11926],null,null,1.5291005
VILL,villin like [Source:HGNC Symbol;Acc:HGNC:30906],null,null,1.5260311
IL4R,interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015],null,null,1.5246128
TNFAIP2,TNF alpha induced protein 2 [Source:HGNC Symbol;Acc:HGNC:11895],null,null,1.5235537
SLC17A9,solute carrier family 17 member 9 [Source:HGNC Symbol;Acc:HGNC:16192],null,null,1.5205063
ZNF667,zinc finger protein 667 [Source:HGNC Symbol;Acc:HGNC:28854],null,null,1.5183029
PDPN,podoplanin [Source:HGNC Symbol;Acc:HGNC:29602],null,null,1.5156676
LAMC2,laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493],null,null,1.5155526
TP53INP1,tumor protein p53 inducible nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:18022],null,null,1.5150784
SH2D1B,SH2 domain containing 1B [Source:HGNC Symbol;Acc:HGNC:30416],null,null,1.5149441
NT5DC2,5'-nucleotidase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25717],null,null,1.5130522
MMP23B,matrix metallopeptidase 23B [Source:HGNC Symbol;Acc:HGNC:7171],null,null,1.5123599
CPM,carboxypeptidase M [Source:HGNC Symbol;Acc:HGNC:2311],null,null,1.5118269
SIRPD,signal regulatory protein delta [Source:HGNC Symbol;Acc:HGNC:16248],null,null,1.5017207
S100A8,S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:HGNC:10498],null,null,1.5006042
CEMIP,cell migration inducing hyaluronidase 1 [Source:HGNC Symbol;Acc:HGNC:29213],null,null,1.496884
MAB21L3,mab-21 like 3 [Source:HGNC Symbol;Acc:HGNC:26787],null,null,1.4918871
KCNIP3,potassium voltage-gated channel interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:15523],null,null,1.4916321
SULF1,sulfatase 1 [Source:HGNC Symbol;Acc:HGNC:20391],null,null,1.4904171
CALHM6,calcium homeostasis modulator family member 6 [Source:HGNC Symbol;Acc:HGNC:33391],null,null,1.4890599
DNASE2,"deoxyribonuclease 2, lysosomal [Source:HGNC Symbol;Acc:HGNC:2960]",null,null,1.4882709
LRRC4,leucine rich repeat containing 4 [Source:HGNC Symbol;Acc:HGNC:15586],null,null,1.4862925
APOBEC3B,apolipoprotein B mRNA editing enzyme catalytic subunit 3B [Source:HGNC Symbol;Acc:HGNC:17352],null,null,1.4835125
SLAMF9,SLAM family member 9 [Source:HGNC Symbol;Acc:HGNC:18430],null,null,1.4828647
C1RL,complement C1r subcomponent like [Source:HGNC Symbol;Acc:HGNC:21265],null,null,1.4817245
LCP1,lymphocyte cytosolic protein 1 [Source:HGNC Symbol;Acc:HGNC:6528],null,null,1.4794718
ITGAV,integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150],null,null,1.4735765
DBX2,developing brain homeobox 2 [Source:HGNC Symbol;Acc:HGNC:33186],null,null,1.472427
IRAK3,interleukin 1 receptor associated kinase 3 [Source:HGNC Symbol;Acc:HGNC:17020],null,null,1.4675219
CCDC88B,coiled-coil domain containing 88B [Source:HGNC Symbol;Acc:HGNC:26757],null,null,1.4640545
ZBTB42,zinc finger and BTB domain containing 42 [Source:HGNC Symbol;Acc:HGNC:32550],null,null,1.4637473
PLET1,placenta expressed transcript 1 [Source:HGNC Symbol;Acc:HGNC:30053],null,null,1.4617528
IGKV2-30,immunoglobulin kappa variable 2-30 [Source:HGNC Symbol;Acc:HGNC:5785],null,null,1.4609103
DOK2,docking protein 2 [Source:HGNC Symbol;Acc:HGNC:2991],null,null,1.4575082
APOBEC2,apolipoprotein B mRNA editing enzyme catalytic subunit 2 [Source:HGNC Symbol;Acc:HGNC:605],null,null,1.4542736
FOXS1,forkhead box S1 [Source:HGNC Symbol;Acc:HGNC:3735],null,null,1.4487975
EBI3,Epstein-Barr virus induced 3 [Source:HGNC Symbol;Acc:HGNC:3129],null,null,1.444182
CLDN14,claudin 14 [Source:HGNC Symbol;Acc:HGNC:2035],null,null,1.4410208
IGKV1D-39,immunoglobulin kappa variable 1D-39 [Source:HGNC Symbol;Acc:HGNC:5756],null,null,1.4407321
LY6E,lymphocyte antigen 6 family member E [Source:HGNC Symbol;Acc:HGNC:6727],null,null,1.4392848
TSPAN10,tetraspanin 10 [Source:HGNC Symbol;Acc:HGNC:29942],null,null,1.4388056
SLC22A15,solute carrier family 22 member 15 [Source:HGNC Symbol;Acc:HGNC:20301],null,null,1.4386507
PIR,pirin [Source:HGNC Symbol;Acc:HGNC:30048],null,null,1.434659
PDLIM4,PDZ and LIM domain 4 [Source:HGNC Symbol;Acc:HGNC:16501],null,null,1.432313
C3,complement C3 [Source:HGNC Symbol;Acc:HGNC:1318],null,null,1.4322883
CDH4,cadherin 4 [Source:HGNC Symbol;Acc:HGNC:1763],null,null,1.4312572
HCAR3,hydroxycarboxylic acid receptor 3 [Source:HGNC Symbol;Acc:HGNC:16824],null,null,1.4276397
CKAP4,cytoskeleton associated protein 4 [Source:HGNC Symbol;Acc:HGNC:16991],null,null,1.426676
IGKC,immunoglobulin kappa constant [Source:HGNC Symbol;Acc:HGNC:5716],null,null,1.4251536
C1orf54,chromosome 1 open reading frame 54 [Source:HGNC Symbol;Acc:HGNC:26258],null,null,1.4229978
UOX,urate oxidase (pseudogene) [Source:HGNC Symbol;Acc:HGNC:12575],null,null,1.4220668
OLFML2B,olfactomedin like 2B [Source:HGNC Symbol;Acc:HGNC:24558],null,null,1.4192096
CTSK,cathepsin K [Source:HGNC Symbol;Acc:HGNC:2536],null,null,1.4181348
MSANTD3,Myb/SANT DNA binding domain containing 3 [Source:HGNC Symbol;Acc:HGNC:23370],null,null,1.4167795
BHLHE40,basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046],null,null,1.4151651
SLPI,secretory leukocyte peptidase inhibitor [Source:HGNC Symbol;Acc:HGNC:11092],null,null,1.4138188
GEM,GTP binding protein overexpressed in skeletal muscle [Source:HGNC Symbol;Acc:HGNC:4234],null,null,1.413731
PAQR8,progestin and adipoQ receptor family member 8 [Source:HGNC Symbol;Acc:HGNC:15708],null,null,1.4113857
THEMIS2,thymocyte selection associated family member 2 [Source:HGNC Symbol;Acc:HGNC:16839],null,null,1.4106683
SLC4A11,solute carrier family 4 member 11 [Source:HGNC Symbol;Acc:HGNC:16438],null,null,1.4092432
BLNK,B cell linker [Source:HGNC Symbol;Acc:HGNC:14211],null,null,1.4051158
PDYN,prodynorphin [Source:HGNC Symbol;Acc:HGNC:8820],null,null,1.4050255
SPNS3,sphingolipid transporter 3 (putative) [Source:HGNC Symbol;Acc:HGNC:28433],null,null,1.4030443
MYO1F,myosin IF [Source:HGNC Symbol;Acc:HGNC:7600],null,null,1.3958216
TMEM123,transmembrane protein 123 [Source:HGNC Symbol;Acc:HGNC:30138],null,null,1.3913709
