MGI Accession ID,Marker Symbol,EntrezGene ID,Ensembl Gene ID,HomoloGene ID
MGI:87979,Ak4,11639,ENSMUSG00000028527,100316
MGI:87981,Akp-ps1,208256,ENSMUSG00000101940,null
MGI:87982,Akp1,null,null,null
MGI:87983,Alpl,11647,ENSMUSG00000028766,37314
MGI:87984,Akp3,11648,ENSMUSG00000036500,134333
MGI:87985,Akp4,null,null,null
MGI:87986,Akt1,11651,ENSMUSG00000001729,3785
MGI:87988,Al,null,null,null
MGI:87989,Alas1,11655,ENSMUSG00000032786,55478
MGI:87990,Alas2,11656,ENSMUSG00000025270,17
MGI:87991,Alb,11657,ENSMUSG00000029368,405
MGI:87994,Aldoa,11674,ENSMUSG00000030695,123896
MGI:87995,Aldob,230163,ENSMUSG00000028307,20060
MGI:87996,Alm,null,null,null
MGI:87997,Alox15,11687,ENSMUSG00000018924,44935
MGI:87998,Alox12,11684,ENSMUSG00000000320,560
MGI:87999,Alox5,11689,ENSMUSG00000025701,561
MGI:88000,alp,null,null,null
MGI:88001,am,null,null,null
MGI:88002,Ambp,11699,ENSMUSG00000028356,1234
MGI:88004,Amd1,11702,ENSMUSG00000075232,1235
MGI:88005,Amelx,11704,ENSMUSG00000031354,47996
MGI:88006,Amh,11705,ENSMUSG00000035262,68060
MGI:88015,Ampd1,229665,ENSMUSG00000070385,20
MGI:88016,Ampd2,109674,ENSMUSG00000027889,2979
MGI:88017,Mat1a,11720,ENSMUSG00000037798,68057
MGI:88019,Amy1,11722,ENSMUSG00000074264,20179
MGI:88020,Amy2a5,109959,ENSMUSG00000074268,134663
MGI:88022,Ang,11727,ENSMUSG00000072115,74385
MGI:88024,Ank1,11733,ENSMUSG00000031543,55427
MGI:88025,Ank2,109676,ENSMUSG00000032826,null
MGI:88026,Ank3,11735,ENSMUSG00000069601,56908
MGI:88029,anx,null,null,null
MGI:88030,Anxa4,11746,ENSMUSG00000029994,68164
MGI:88031,Anxa7,11750,ENSMUSG00000021814,36149
MGI:88032,Anxa7-ps1,null,null,null
MGI:88033,ao,null,null,null
MGI:88034,Prdx3,11757,ENSMUSG00000024997,4944
MGI:88035,Aox1,11761,ENSMUSG00000063558,68165
MGI:88037,ap,null,null,null
MGI:88038,Fabp4,11770,ENSMUSG00000062515,36067
MGI:88039,Apc,11789,ENSMUSG00000005871,30950
MGI:88040,Cat4,null,null,null
MGI:88041,Apeh,235606,ENSMUSG00000032590,1240
MGI:88042,Apex1,11792,ENSMUSG00000035960,1241
MGI:88043,Alph1,null,null,null
MGI:88044,Alph2,null,null,null
MGI:88045,Apk,null,null,null
MGI:88046,Aplp1,11803,ENSMUSG00000006651,68447
MGI:88047,Aplp2,11804,ENSMUSG00000031996,20396
MGI:88048,Apo,null,null,null
MGI:88049,Apoa1,11806,ENSMUSG00000032083,47900
MGI:88050,Apoa2,11807,ENSMUSG00000005681,1242
MGI:88051,Apoa4,11808,ENSMUSG00000032080,47927
MGI:88052,Apob,238055,ENSMUSG00000020609,328
MGI:88053,Apoc1,11812,ENSMUSG00000040564,136426
MGI:88054,Apoc2,11813,ENSMUSG00000002992,47928
MGI:88055,Apoc3,11814,ENSMUSG00000032081,136634
MGI:88056,Apod,11815,ENSMUSG00000022548,1246
MGI:88057,Apoe,11816,ENSMUSG00000002985,30951
MGI:88058,Apoh,11818,ENSMUSG00000000049,26
MGI:88059,App,11820,ENSMUSG00000022892,56379
MGI:88061,Aprt,11821,ENSMUSG00000006589,413
MGI:88062,Aprt-ps,621377,ENSMUSG00000110664,null
MGI:88063,Aprt-rs2,null,null,null
MGI:88064,Ar,11835,ENSMUSG00000046532,28
MGI:88065,Araf,11836,ENSMUSG00000001127,1249
MGI:88067,Arc,11838,ENSMUSG00000022602,9056
MGI:88068,Areg,11839,ENSMUSG00000029378,1252
MGI:88070,Arg1,11846,ENSMUSG00000019987,29
MGI:88071,Arnt,11863,ENSMUSG00000015522,1261
MGI:88075,Arsb,11881,ENSMUSG00000042082,73870
MGI:88077,Arsa,11883,ENSMUSG00000022620,20138
MGI:88078,asa,null,null,null
MGI:88079,Asc1,null,null,null
MGI:88080,Asc2,null,null,null
MGI:88081,Asgr1,11889,ENSMUSG00000020884,1263
MGI:88082,Asgr2,11890,ENSMUSG00000040963,912
MGI:88084,Asl,109900,ENSMUSG00000025533,32
MGI:88088,Ass-ps1,100417301,ENSMUSG00000106050,null
MGI:88089,Ass-ps2,null,null,null
MGI:88090,Ass1,11898,ENSMUSG00000076441,6899
MGI:88094,at,null,null,null
MGI:88095,Serpinc1,11905,ENSMUSG00000026715,20139
MGI:88096,Atf4,11911,ENSMUSG00000042406,1266
MGI:88105,Atp1a1,11928,ENSMUSG00000033161,564
MGI:88106,Atp1a2,98660,ENSMUSG00000007097,47947
MGI:88107,Atp1a3,232975,ENSMUSG00000040907,113729
MGI:88108,Atp1b1,11931,ENSMUSG00000026576,37509
MGI:88109,Atp1b2,11932,ENSMUSG00000041329,36075
MGI:88110,Atp2a2,11938,ENSMUSG00000029467,80167
MGI:88111,Atp2b4,381290,ENSMUSG00000026463,48034
MGI:88113,Atp4a,11944,ENSMUSG00000005553,68081
MGI:88114,Atp4b,11945,ENSMUSG00000031449,20182
MGI:88115,Atp5a1,11946,ENSMUSG00000025428,2985
MGI:88116,Atp6v0c,11984,ENSMUSG00000024121,68199
MGI:88117,Slc7a1,11987,ENSMUSG00000041313,20658
MGI:88121,Avp,11998,ENSMUSG00000037727,417
MGI:88123,Avpr2,12000,ENSMUSG00000031390,20064
MGI:88125,Axd,null,null,null
MGI:88127,B2m,12010,ENSMUSG00000060802,2987
MGI:88128,ba,null,null,null
MGI:88133,Zbtb12,193736,ENSMUSG00000049823,18778
MGI:88135,Tff1,21784,ENSMUSG00000024032,2426
MGI:88137,Bckdhb,12040,ENSMUSG00000032263,39
MGI:88138,Bcl2,12043,ENSMUSG00000057329,527
MGI:88139,Bcl2l1,12048,ENSMUSG00000007659,7639
MGI:88140,Bcl3,12051,ENSMUSG00000053175,81738
MGI:88141,Bcr,110279,ENSMUSG00000009681,3192
MGI:88142,bd,null,null,null
MGI:88143,Bda,null,null,null
MGI:88144,Bdkrb1,12061,ENSMUSG00000041347,570
MGI:88145,Bdnf,12064,ENSMUSG00000048482,7245
MGI:88149,Bfo,null,null,null
MGI:88151,Glb1,12091,ENSMUSG00000045594,47922
MGI:88155,Bglap3,12095,ENSMUSG00000074489,104130
MGI:88156,Bglap,12096,ENSMUSG00000074483,104130
MGI:88157,Bglap2,12097,ENSMUSG00000074486,104130
MGI:88158,Bgn,12111,ENSMUSG00000031375,1293
MGI:88159,bh,null,null,null
MGI:88160,Bhd,null,null,null
MGI:88168,Bld,null,null,null
MGI:88169,Blk,12143,ENSMUSG00000014453,1297
MGI:88170,Blvra,109778,ENSMUSG00000001999,572
MGI:88174,Bmi1,12151,ENSMUSG00000026739,3797
MGI:88175,Manba,110173,ENSMUSG00000028164,4317
MGI:88176,Bmp1,12153,ENSMUSG00000022098,55955
MGI:88177,Bmp2,12156,ENSMUSG00000027358,926
MGI:88178,Bmp4-ps,111237,null,null
MGI:88179,Bmp3,110075,ENSMUSG00000029335,927
MGI:88180,Bmp4,12159,ENSMUSG00000021835,7247
MGI:88181,Bmp5,12160,ENSMUSG00000032179,22412
MGI:88182,Bmp6,12161,ENSMUSG00000039004,1300
MGI:88184,Bmyc,107771,ENSMUSG00000049086,11343
MGI:88189,Br,null,null,null
MGI:88190,Braf,109880,ENSMUSG00000002413,3197
MGI:88192,Smarca4,20586,ENSMUSG00000032187,135927
MGI:88208,Bsg,12215,ENSMUSG00000023175,1308
MGI:88210,Bsp,null,null,null
MGI:88213,bt2,null,null,null
MGI:88215,Btg1,12226,ENSMUSG00000036478,37521
MGI:88216,Btk,12229,ENSMUSG00000031264,30953
MGI:88218,Commd3,12238,ENSMUSG00000051154,15693
MGI:88222,Tspo,12257,ENSMUSG00000041736,574
MGI:88223,C1qa,12259,ENSMUSG00000036887,7249
MGI:88224,C1qb,12260,ENSMUSG00000036905,418
MGI:88225,C1qc,12262,ENSMUSG00000036896,32020
MGI:88226,C2,12263,ENSMUSG00000024371,45
MGI:88227,C3,12266,ENSMUSG00000024164,68031
MGI:88228,C4b,12268,ENSMUSG00000073418,36030
MGI:88229,C4bp,12269,ENSMUSG00000026405,null
MGI:88232,C5ar1,12273,ENSMUSG00000049130,20413
MGI:88233,C6,12274,ENSMUSG00000022181,47
MGI:88234,C6r,null,null,null
MGI:88235,C7,109828,ENSMUSG00000079105,489
MGI:88236,C8b,110382,ENSMUSG00000029656,48
MGI:88237,C8g,69379,ENSMUSG00000015083,505
MGI:88239,cab,null,null,null
MGI:88240,cac,null,null,null
MGI:88242,Cgct,null,null,null
MGI:88243,Caf,null,null,null
MGI:88244,S100a8,20201,ENSMUSG00000056054,2225
MGI:88246,Anxa2,12306,ENSMUSG00000032231,20857
MGI:88248,Calb1,12307,ENSMUSG00000028222,21026
MGI:88250,Cald1,109624,ENSMUSG00000029761,137254
MGI:88251,Calm1,12313,ENSMUSG00000001175,116117
MGI:88252,Calr,12317,ENSMUSG00000003814,37911
MGI:88253,Car8,12319,ENSMUSG00000041261,20861
MGI:88255,Anxa6,11749,ENSMUSG00000018340,55558
MGI:88256,Camk2a,12322,ENSMUSG00000024617,56577
MGI:88257,Camk2b,12323,ENSMUSG00000057897,111050
MGI:88258,Camk4,12326,ENSMUSG00000038128,100780
MGI:88259,Camk2g,12325,ENSMUSG00000021820,15596
MGI:88260,can,null,null,null
MGI:88261,Canx,12330,ENSMUSG00000020368,1324
MGI:88262,Cap1,12331,ENSMUSG00000028656,74572
MGI:88263,Capn1,12333,ENSMUSG00000024942,3800
MGI:88264,Capn2,12334,ENSMUSG00000026509,1326
MGI:88266,Capns1,12336,ENSMUSG00000001794,1327
MGI:88268,Car1,12346,ENSMUSG00000027556,20414
MGI:88269,Car2,12349,ENSMUSG00000027562,37256
MGI:88270,Car3,12350,ENSMUSG00000027559,31298
MGI:88271,Cat,12359,ENSMUSG00000027187,55514
MGI:88272,Cat2,null,null,null
MGI:88273,Cat3,null,null,null
MGI:88274,Ctnna1,12385,ENSMUSG00000037815,1433
MGI:88275,Ctnna2,12386,ENSMUSG00000063063,68394
MGI:88276,Ctnnb1,12387,ENSMUSG00000006932,1434
MGI:88277,cb,null,null,null
MGI:88278,Serpina6,12401,ENSMUSG00000060807,20417
MGI:88279,Cbl,12402,ENSMUSG00000034342,3802
MGI:88280,Cbl-ps1,null,null,null
MGI:88281,Cbln1,12404,ENSMUSG00000031654,74520
MGI:88282,Cbln2,12405,ENSMUSG00000024647,18203
MGI:88283,Serpinh1,12406,ENSMUSG00000070436,20331
MGI:88284,Cbr1,12408,ENSMUSG00000051483,37524
MGI:88285,Cbs,12411,ENSMUSG00000024039,37258
MGI:88289,Cbx2,12416,ENSMUSG00000025577,7256
MGI:88290,cby,null,null,null
MGI:88291,Ccd,null,null,null
MGI:88293,Cacna1d,12289,ENSMUSG00000015968,578
MGI:88294,Cacna1s,12292,ENSMUSG00000026407,37257
MGI:88295,Cacna2d1,12293,ENSMUSG00000040118,579
MGI:88296,Cacna1b,12287,ENSMUSG00000004113,20184
MGI:88297,Cck,12424,ENSMUSG00000032532,583
MGI:88302,Ccnb1,268697,ENSMUSG00000041431,68982
MGI:88311,Ccnb2,12442,ENSMUSG00000032218,74359
MGI:88313,Ccnd1,12443,ENSMUSG00000070348,1334
MGI:88314,Ccnd2,12444,ENSMUSG00000000184,37525
MGI:88315,Ccnd3,12445,ENSMUSG00000034165,20419
MGI:88316,Ccne1,12447,ENSMUSG00000002068,14452
MGI:88318,Cd14,12475,ENSMUSG00000051439,493
MGI:88319,Cd19,12478,ENSMUSG00000030724,1341
MGI:88320,Cd2,12481,ENSMUSG00000027863,1338
MGI:88321,Ms4a1,12482,ENSMUSG00000024673,7259
MGI:88322,Cd22,12483,ENSMUSG00000030577,31052
MGI:88323,Cd24a,12484,ENSMUSG00000047139,null
MGI:88326,Cd27,21940,ENSMUSG00000030336,74386
MGI:88327,Cd28,12487,ENSMUSG00000026012,4473
MGI:88328,Tnfsf8,21949,ENSMUSG00000028362,950
MGI:88329,Cd34,12490,ENSMUSG00000016494,1343
MGI:88330,Cd37,12493,ENSMUSG00000030798,20422
MGI:88331,Cd3d,12500,ENSMUSG00000032094,585
MGI:88332,Cd3e,12501,ENSMUSG00000032093,586
MGI:88333,Cd3g,12502,ENSMUSG00000002033,55
MGI:88334,Cd247,12503,ENSMUSG00000005763,12818
MGI:88335,Cd4,12504,ENSMUSG00000023274,513
MGI:88336,Cd40,21939,ENSMUSG00000017652,954
MGI:88337,Cd40lg,21947,ENSMUSG00000031132,56
MGI:88338,Cd44,12505,ENSMUSG00000005087,508
MGI:88339,Cd48,12506,ENSMUSG00000015355,1347
MGI:88340,Cd5,12507,ENSMUSG00000024669,7260
MGI:88341,Cd53,12508,ENSMUSG00000040747,20152
MGI:88342,Cd68,12514,ENSMUSG00000018774,955
MGI:88343,Cd69,12515,ENSMUSG00000030156,128584
MGI:88344,Cd7,12516,ENSMUSG00000025163,4471
MGI:88345,Cd72,12517,ENSMUSG00000028459,1350
MGI:88346,Cd8a,12525,ENSMUSG00000053977,133777
MGI:88347,Cd8b1,12526,ENSMUSG00000053044,3621
MGI:88348,Cd9,12527,ENSMUSG00000030342,20420
MGI:88350,Cdc25c,12532,ENSMUSG00000044201,1356
MGI:88351,Cdk1,12534,ENSMUSG00000019942,68203
MGI:88353,Cdk11b,12537,ENSMUSG00000029062,22416
MGI:88354,Cdh1,12550,ENSMUSG00000000303,20917
MGI:88355,Cdh2,12558,ENSMUSG00000024304,20424
MGI:88356,Cdh3,12560,ENSMUSG00000061048,20425
MGI:88357,Cdk4,12567,ENSMUSG00000006728,55429
MGI:88358,cdm,null,null,null
MGI:88359,Cdr1,631990,ENSMUSG00000090546,null
MGI:88360,Cdx1,12590,ENSMUSG00000024619,1366
MGI:88361,Cdx2,12591,ENSMUSG00000029646,968
MGI:88362,Cdx4,12592,ENSMUSG00000031326,3806
MGI:88364,Ce2,null,null,null
MGI:88373,Cebpb,12608,ENSMUSG00000056501,3807
MGI:88374,Cel,12613,ENSMUSG00000026818,37529
MGI:88375,Cenpa,12615,ENSMUSG00000029177,1369
MGI:88376,Cenpb,12616,ENSMUSG00000068267,1370
MGI:88378,Ces1g,12623,ENSMUSG00000057074,137354
MGI:88379,F13b,14060,ENSMUSG00000026368,1512
MGI:88380,F2,14061,ENSMUSG00000027249,426
MGI:88381,F3,14066,ENSMUSG00000028128,1511
MGI:88382,F5,14067,ENSMUSG00000026579,104
MGI:88383,F8,14069,ENSMUSG00000031196,49153
MGI:88384,F9,14071,ENSMUSG00000031138,106
MGI:88385,Cfh,12628,ENSMUSG00000026365,20086
MGI:88387,Cfp1,null,null,null
MGI:88388,Cftr,12638,ENSMUSG00000041301,55465
MGI:88389,cg,null,null,null
MGI:88390,Cga,12640,ENSMUSG00000028298,587
MGI:88392,Chat,12647,ENSMUSG00000021919,40693
MGI:88393,Chd1,12648,ENSMUSG00000023852,68174
MGI:88394,Chga,12652,ENSMUSG00000021194,976
MGI:88395,Chgb,12653,ENSMUSG00000027350,1375
MGI:88396,Chrm1,12669,ENSMUSG00000032773,20189
MGI:88397,Chrm2,243764,ENSMUSG00000045613,20190
MGI:88398,Chrm3,12671,ENSMUSG00000046159,20191
MGI:88399,Chrm4,12672,ENSMUSG00000040495,20192
MGI:88401,Vsx2,12677,ENSMUSG00000021239,7266
MGI:88403,ci,null,null,null
MGI:88404,Ckb-ps2,12706,ENSMUSG00000106327,null
MGI:88405,Ck-ps2,null,null,null
MGI:88406,Ck-ps3,12708,null,null
MGI:88407,Ckb,12709,ENSMUSG00000001270,37530
MGI:88413,Ckm,12715,ENSMUSG00000030399,20432
MGI:88414,ckr,null,null,null
MGI:88415,cl,null,null,null
MGI:88416,cla,null,null,null
MGI:88417,Clcn1,12723,ENSMUSG00000029862,63
MGI:88419,Cle,null,null,null
MGI:88421,Clps,109791,ENSMUSG00000024225,1383
MGI:88422,cls,null,null,null
MGI:88423,Clu,12759,ENSMUSG00000022037,1382
MGI:88424,Cm,null,null,null
MGI:88425,cma,null,null,null
MGI:88426,Cma2,545055,ENSMUSG00000068289,115745
MGI:88431,Cnbp,12785,ENSMUSG00000030057,2567
MGI:88432,Cnbpl1,null,null,null
MGI:88436,Cnga1,12788,ENSMUSG00000067220,55432
MGI:88437,Cnp,12799,ENSMUSG00000006782,7672
MGI:88439,Cntf,12803,ENSMUSG00000079415,8288
MGI:88440,co,null,null,null
MGI:88442,Coc,null,null,null
MGI:88443,cod,null,null,null
MGI:88445,Col10a1,12813,ENSMUSG00000039462,55466
MGI:88446,Col11a1,12814,ENSMUSG00000027966,56389
MGI:88447,Col11a2,12815,ENSMUSG00000024330,22547
MGI:88448,Col12a1,12816,ENSMUSG00000032332,3217
MGI:88449,Col15a1,12819,ENSMUSG00000028339,1396
MGI:88450,Col17a1,12821,ENSMUSG00000025064,7276
MGI:88451,Col18a1,12822,ENSMUSG00000001435,7673
MGI:88452,Col2a1,12824,ENSMUSG00000022483,55607
MGI:88453,Col3a1,12825,ENSMUSG00000026043,55433
MGI:88454,Col4a1,12826,ENSMUSG00000031502,20437
MGI:88455,Col4a2,12827,ENSMUSG00000031503,1390
MGI:88456,Col4a5,12830,ENSMUSG00000031274,133559
MGI:88457,Col5a1,12831,ENSMUSG00000026837,55434
MGI:88458,Col5a2,12832,ENSMUSG00000026042,20119
MGI:88459,Col6a1,12833,ENSMUSG00000001119,1391
MGI:88460,Col6a2,12834,ENSMUSG00000020241,1392
MGI:88461,Col6a3,12835,ENSMUSG00000048126,37917
MGI:88462,Col7a1,12836,ENSMUSG00000025650,73
MGI:88463,Col8a1,12837,ENSMUSG00000068196,22423
MGI:88464,Col8a2,329941,ENSMUSG00000056174,55879
MGI:88465,Col9a1,12839,ENSMUSG00000026147,1393
MGI:88466,Col9a2,12840,ENSMUSG00000028626,37535
MGI:88467,Col1a1,12842,ENSMUSG00000001506,73874
MGI:88468,Col1a2,12843,ENSMUSG00000029661,69
MGI:88469,Comp,12845,ENSMUSG00000031849,74
MGI:88470,Comt,12846,ENSMUSG00000000326,30982
MGI:88473,Cox4i1,12857,ENSMUSG00000031818,37537
MGI:88474,Cox5a,12858,ENSMUSG00000000088,37905
MGI:88475,Cox5b,12859,ENSMUSG00000061518,133751
MGI:88476,Cp,12870,ENSMUSG00000003617,75
MGI:88477,Cp2,null,null,null
MGI:88478,Cpa1,109697,ENSMUSG00000054446,55609
MGI:88479,Cpa3,12873,ENSMUSG00000001865,122138
MGI:88483,Cpl1,null,null,null
MGI:88484,Cpl2,null,null,null
MGI:88486,cpy,null,null,null
MGI:88487,Cpz,242939,ENSMUSG00000036596,2709
MGI:88489,Cr2,12902,ENSMUSG00000026616,55611
MGI:88490,Crabp1,12903,ENSMUSG00000032291,3222
MGI:88491,Crabp2,12904,ENSMUSG00000004885,1415
MGI:88492,Masp1,17174,ENSMUSG00000022887,88793
MGI:88494,Creb1,12912,ENSMUSG00000025958,3223
MGI:88495,Crem,12916,ENSMUSG00000063889,84591
MGI:88496,Crh,12918,ENSMUSG00000049796,599
MGI:88497,Crhbp,12919,ENSMUSG00000021680,1418
MGI:88498,Crhr1,12921,ENSMUSG00000018634,20920
MGI:88499,crhx,null,null,null
MGI:88500,cri,null,null,null
MGI:88501,Crip1,12925,ENSMUSG00000006360,37465
MGI:88508,Crk,12928,ENSMUSG00000017776,81850
MGI:88510,Crm,null,null,null
MGI:88511,crn,null,null,null
MGI:88512,Crp,12944,ENSMUSG00000037942,128039
MGI:88513,Cr1l,12946,ENSMUSG00000016481,128275
MGI:88514,Crry-ps,101056221,ENSMUSG00000047657,null
MGI:88515,Cryaa,12954,ENSMUSG00000024041,48053
MGI:88516,Cryab,12955,ENSMUSG00000032060,68209
MGI:88518,Cryba1,12957,ENSMUSG00000000724,3815
MGI:88519,Crybb2,12961,ENSMUSG00000042240,420
MGI:88521,Cryga,12964,ENSMUSG00000044429,129704
MGI:88522,Crygb,12965,ENSMUSG00000073658,3816
MGI:88523,Crygc,12966,ENSMUSG00000025952,36281
MGI:88524,Crygd,12967,ENSMUSG00000067299,36213
MGI:88525,Cryge,12968,ENSMUSG00000070870,128417
MGI:88526,Crygf,12969,ENSMUSG00000025945,128417
MGI:88527,Cryz,12972,ENSMUSG00000028199,133907
MGI:88528,crz,null,null,null
MGI:88529,Cs,12974,ENSMUSG00000005683,56073
MGI:88537,Csk,12988,ENSMUSG00000032312,55818
MGI:88540,Csn1s1,12990,ENSMUSG00000070702,null
MGI:88541,Csn2,12991,ENSMUSG00000063157,1426
MGI:88542,Csn1s2a,12993,ENSMUSG00000061937,7284
MGI:88543,Csnk2a1,12995,ENSMUSG00000074698,90874
MGI:88544,Csnk2a1-ps1,667125,ENSMUSG00000114909,null
MGI:88545,Csnk2a1-ps,668993,ENSMUSG00000083288,null
MGI:88546,Csnk2a1-rs3,null,null,null
MGI:88547,Csnk2a2,13000,ENSMUSG00000046707,20444
MGI:88548,Csnk2b,13001,ENSMUSG00000024387,55572
MGI:88549,Csrp1,13007,ENSMUSG00000026421,37874
MGI:88554,Ctla2a,13024,ENSMUSG00000044258,130627
MGI:88555,Ctla2b,13025,ENSMUSG00000074874,130627
MGI:88556,Ctla4,12477,ENSMUSG00000026011,3820
MGI:88557,Pcyt1a,13026,ENSMUSG00000005615,3680
MGI:88558,Ctrl,109660,ENSMUSG00000031896,37549
MGI:88559,Ctrb1,66473,ENSMUSG00000031957,88564
MGI:88561,Ctsb,13030,ENSMUSG00000021939,37550
MGI:88562,Ctsd,13033,ENSMUSG00000007891,55616
MGI:88563,Ctsg,13035,ENSMUSG00000040314,105646
MGI:88564,Ctsl,13039,ENSMUSG00000021477,76699
MGI:88566,Ctxn1,330695,ENSMUSG00000048644,45664
MGI:88567,cu,null,null,null
MGI:88568,Cux1,13047,ENSMUSG00000029705,null
MGI:88570,cx,null,null,null
MGI:88573,cy,null,null,null
MGI:88574,Cybb,13058,ENSMUSG00000015340,68054
MGI:88578,Cycs,13063,ENSMUSG00000063694,133055
MGI:88579,Cyct,13067,ENSMUSG00000056436,129551
MGI:88580,Cyl,null,null,null
MGI:88582,Cyp11a1,13070,ENSMUSG00000032323,37347
MGI:88583,Cyp11b1,110115,ENSMUSG00000075604,106948
MGI:88584,Cyp11b2,13072,ENSMUSG00000022589,128035
MGI:88586,Cyp17a1,13074,ENSMUSG00000003555,73875
MGI:88587,Cyp19a1,13075,ENSMUSG00000032274,30955
MGI:88588,Cyp1a1,13076,ENSMUSG00000032315,68062
MGI:88589,Cyp1a2,13077,ENSMUSG00000032310,68082
MGI:88590,Cyp1b1,13078,ENSMUSG00000024087,68035
