Human Marker Symbol,Human Entrez Gene ID,Mouse Marker Symbol,MGI Marker Accession ID
ACSL6,23305,Acsl6,  MGI:894291
ACSM1,116285,Acsm1,  MGI:2152200
ACSM2A,123876,Acsm2,  MGI:2385289
ACSM2B,348158,Acsm2,  MGI:2385289
ACSM3,6296,Acsm3,  MGI:99538
ACSM4,341392,Acsm4,  MGI:2681844
ACSM5,54988,Acsm5,  MGI:2444086
ACSS1,84532,Acss1,  MGI:1915988
ACSS2,55902,Acss2,  MGI:1890410
ACSS3,79611,Acss3,  MGI:2685720
ACTA1,58,Acta1,  MGI:87902
ACTA2,59,Acta2,  MGI:87909
ACTB,60,Actb,  MGI:87904
ACTBL2,345651,Actbl2,  MGI:2444552
ACTC1,70,Actc1,  MGI:87905
ACTE1P,399923,Acte1,  MGI:2685344
ACTG1,71,Actg1,  MGI:87906
ACTG2,72,Actg2,  MGI:104589
ACTL10,170487,Actl10,  MGI:1917612
ACTL6A,86,Actl6a,  MGI:1861453
ACTL6B,51412,Actl6b,  MGI:1933548
ACTL7A,10881,Actl7a,  MGI:1343051
ACTL7B,10880,Actl7b,  MGI:1343053
ACTL9,284382,Actl9,  MGI:1916731
ACTN1,87,Actn1,  MGI:2137706
ACTN2,88,Actn2,  MGI:109192
ACTN3,89,Actn3,  MGI:99678
ACTN4,81,Actn4,  MGI:1890773
ACTR10,55860,Actr10,  MGI:1891654
ACTR1A,10121,Actr1a,  MGI:1858964
ACTR1B,10120,Actr1b,  MGI:1917446
ACTR2,10097,Actr2,  MGI:1913963
ACTR3,10096,Actr3,  MGI:1921367
ACTR3B,57180,Actr3b,  MGI:2661120
ACTR5,79913,Actr5,  MGI:1924748
ACTR6,64431,Actr6,  MGI:1914269
ACTR8,93973,Actr8,  MGI:1860775
ACTRT1,139741,Actrt1,  MGI:1920610
ACTRT2,140625,Actrt2,  MGI:1920603
ACTRT3,84517,Actrt3,  MGI:1923902
ACVR1,90,Acvr1,  MGI:87911
ACVR1B,91,Acvr1b,  MGI:1338944
ACVR1C,130399,Acvr1c,  MGI:2661081
ACVR2A,92,Acvr2a,  MGI:102806
ACVR2B,93,Acvr2b,  MGI:87912
ACVRL1,94,Acvrl1,  MGI:1338946
ACY1,95,Acy1,  MGI:87913
ACY3,91703,Acy3,  MGI:1918920
ACYP1,97,Acyp1,  MGI:1913454
ACYP2,98,Acyp2,  MGI:1922822
ADA,100,Ada,  MGI:87916
ADAD1,132612,Adad1,  MGI:103258
ADAD2,161931,Adad2,  MGI:1923023
ADAL,161823,Adal,  MGI:1923144
ADAM10,102,Adam10,  MGI:109548
ADAM11,4185,Adam11,  MGI:1098667
ADAM12,8038,Adam12,  MGI:105378
ADAM15,8751,Adam15,  MGI:1333882
ADAM17,6868,Adam17,  MGI:1096335
ADAM18,8749,Adam18,  MGI:105986
ADAM19,8728,Adam19,  MGI:105377
ADAM1A,8759,Adam1a,  MGI:2429504
ADAM1B,100420505,Adam1b,  MGI:2429506
ADAM2,2515,Adam2,  MGI:1340894
ADAM20,8748,Adam20,  MGI:2152342
ADAM20,8748,Adam25,  MGI:1345157
ADAM20,8748,Adam39,  MGI:3045694
ADAM21,8747,Adam21,  MGI:1861229
ADAM22,53616,Adam22,  MGI:1340046
ADAM23,8745,Adam23,  MGI:1345162
ADAM24P,646479,Adam24,  MGI:105984
ADAM28,10863,Adam28,  MGI:105988
ADAM29,11086,Adam29,  MGI:2676326
ADAM30,11085,Adam30,  MGI:1918328
ADAM32,203102,Adam32,  MGI:2653822
ADAM33,80332,Adam33,  MGI:1341813
ADAM3A,1587,Adam3,  MGI:102518
ADAM5,255926,Adam5,  MGI:104730
ADAM6,8755,Adam6a,  MGI:2676316
ADAM7,8756,Adam7,  MGI:107247
ADAM8,101,Adam8,  MGI:107825
ADAM9,8754,Adam9,  MGI:105376
ADAMDEC1,27299,Adamdec1,  MGI:1917650
ADAMTS1,9510,Adamts1,  MGI:109249
ADAMTS10,81794,Adamts10,  MGI:2449112
ADAMTS12,81792,Adamts12,  MGI:2146046
ADAMTS13,11093,Adamts13,  MGI:2685556
ADAMTS14,140766,Adamts14,  MGI:2179942
ADAMTS15,170689,Adamts15,  MGI:2449569
ADAMTS16,170690,Adamts16,  MGI:2429637
ADAMTS17,170691,Adamts17,  MGI:3588195
ADAMTS18,170692,Adamts18,  MGI:2442600
ADAMTS19,171019,Adamts19,  MGI:2442875
ADAMTS2,9509,Adamts2,  MGI:1347356
ADAMTS20,80070,Adamts20,  MGI:2660628
ADAMTS3,9508,Adamts3,  MGI:3045353
ADAMTS4,9507,Adamts4,  MGI:1339949
ADAMTS5,11096,Adamts5,  MGI:1346321
ADAMTS6,11174,Adamts6,  MGI:1347348
ADAMTS7,11173,Adamts7,  MGI:1347346
ADAMTS8,11095,Adamts8,  MGI:1353468
ADAMTS9,56999,Adamts9,  MGI:1916320
ADAMTSL1,92949,Adamtsl1,  MGI:1924989
ADAMTSL2,9719,Adamtsl2,  MGI:1925044
ADAMTSL3,57188,Adamtsl3,  MGI:3028499
ADAMTSL4,54507,Adamtsl4,  MGI:2389008
ADAMTSL5,339366,Adamtsl5,  MGI:1913798
ADAP1,11033,Adap1,  MGI:2442201
ADAP2,55803,Adap2,  MGI:2663075
ADAR,103,Adar,  MGI:1889575
ADARB1,104,Adarb1,  MGI:891999
ADARB2,105,Adarb2,  MGI:2151118
ADAT1,23536,Adat1,  MGI:1353631
ADAT2,134637,Adat2,  MGI:1914007
ADAT3,113179,Adat3,  MGI:1924344
ADCK1,57143,Adck1,  MGI:1919363
ADCK2,90956,Adck2,  MGI:1889336
ADCK5,203054,Adck5,  MGI:2679274
ADCY1,107,Adcy1,  MGI:99677
ADCY10,55811,Adcy10,  MGI:2660854
ADCY2,108,Adcy2,  MGI:99676
ADCY3,109,Adcy3,  MGI:99675
ADCY4,196883,Adcy4,  MGI:99674
ADCY5,111,Adcy5,  MGI:99673
ADCY6,112,Adcy6,  MGI:87917
ADCY7,113,Adcy7,  MGI:102891
ADCY8,114,Adcy8,  MGI:1341110
ADCY9,115,Adcy9,  MGI:108450
ADCYAP1,116,Adcyap1,  MGI:105094
ADCYAP1R1,117,Adcyap1r1,  MGI:108449
ADD1,118,Add1,  MGI:87918
ADD2,119,Add2,  MGI:87919
ADD3,120,Add3,  MGI:1351615
ADGB,79747,Adgb,  MGI:3605549
ADGRA1,84435,Adgra1,  MGI:1277167
ADGRA2,25960,Adgra2,  MGI:1925810
ADGRA3,166647,Adgra3,  MGI:1917943
ADGRB1,575,Adgrb1,  MGI:1933736
ADGRB2,576,Adgrb2,  MGI:2451244
ADGRB3,577,Adgrb3,  MGI:2441837
ADGRD1,283383,Adgrd1,  MGI:3041203
ADGRE1,2015,Adgre1,  MGI:106912
ADGRE4P,326342,Adgre4,  MGI:1196464
ADGRE5,976,Adgre5,  MGI:1347095
ADGRF1,266977,Adgrf1,  MGI:1924846
ADGRF2,222611,Adgrf2,  MGI:2182728
ADGRF3,165082,Adgrf3,  MGI:2685887
ADGRF4,221393,Adgrf4,  MGI:1925499
ADGRF5,221395,Adgrf5,  MGI:2182928
ADGRG1,9289,Adgrg1,  MGI:1340051
ADGRG2,10149,Adgrg2,  MGI:2446854
ADGRG3,222487,Adgrg3,  MGI:1859670
ADGRG4,139378,Adgrg4,  MGI:2685213
ADGRG5,221188,Adgrg5,  MGI:2685955
ADGRG6,57211,Adgrg6,  MGI:1916151
ADGRG7,84873,Adgrg7,  MGI:2441732
ADGRL1,22859,Adgrl1,  MGI:1929461
ADGRL2,23266,Adgrl2,  MGI:2139714
ADGRL3,23284,Adgrl3,  MGI:2441950
ADGRL4,64123,Adgrl4,  MGI:2655562
ADGRV1,84059,Adgrv1,  MGI:1274784
ADH1A,124,Adh1,  MGI:87921
ADH1B,125,Adh1,  MGI:87921
ADH1C,126,Adh1,  MGI:87921
ADH4,127,Adh4,  MGI:1349472
ADH5,128,Adh5,  MGI:87929
ADH7,131,Adh7,  MGI:87926
ADHFE1,137872,Adhfe1,  MGI:1923437
ADI1,55256,Adi1,  MGI:2144929
ADIG,149685,Adig,  MGI:2675492
ADIPOQ,9370,Adipoq,  MGI:106675
ADIPOR1,51094,Adipor1,  MGI:1919924
ADIPOR2,79602,Adipor2,  MGI:93830
ADK,132,Adk,  MGI:87930
ADM,133,Adm,  MGI:108058
ADM2,79924,Adm2,  MGI:2675256
ADNP,23394,Adnp,  MGI:1338758
ADNP2,22850,Adnp2,  MGI:2448562
ADO,84890,Ado,  MGI:2685083
ADORA1,134,Adora1,  MGI:99401
ADORA2A,135,Adora2a,  MGI:99402
ADORA2B,136,Adora2b,  MGI:99403
ADORA3,140,Adora3,  MGI:104847
ADPGK,83440,Adpgk,  MGI:1919391
ADPRH,141,Adprh,  MGI:1098234
ADPRHL1,113622,Adprhl1,  MGI:2442168
ADPRM,56985,Adprm,  MGI:1913608
ADPRS,54936,Adprhl2,  MGI:2140364
ADRA1A,148,Adra1a,  MGI:104773
ADRA1B,147,Adra1b,  MGI:104774
ADRA1D,146,Adra1d,  MGI:106673
ADRA2A,150,Adra2a,  MGI:87934
ADRA2B,151,Adra2b,  MGI:87935
ADRA2C,152,Adra2c,  MGI:87936
ADRB1,153,Adrb1,  MGI:87937
ADRB2,154,Adrb2,  MGI:87938
ADRB3,155,Adrb3,  MGI:87939
ADRM1,11047,Adrm1,  MGI:1929289
ADSL,158,Adsl,  MGI:103202
ADSS1,122622,Adssl1,  MGI:87947
ADSS2,159,Adss,  MGI:87948
ADTRP,84830,Adtrp,  MGI:1924596
AEBP1,165,Aebp1,  MGI:1197012
AEBP2,121536,Aebp2,  MGI:1338038
AEN,64782,Aen,  MGI:1915298
AFAP1,60312,Afap1,  MGI:1917542
AFAP1L1,134265,Afap1l1,  MGI:2147199
AFAP1L2,84632,Afap1l2,  MGI:2147658
AFDN,4301,Afdn,  MGI:1314653
AFF1,4299,Aff1,  MGI:1100819
AFF2,2334,Aff2,  MGI:1202294
AFF3,3899,Aff3,  MGI:106927
AFF4,27125,Aff4,  MGI:2136171
AFG1L,246269,Afg1l,  MGI:2148801
AFG3L1P,172,Afg3l1,  MGI:1928277
AFG3L2,10939,Afg3l2,  MGI:1916847
AFM,173,Afm,  MGI:2429409
AFMID,125061,Afmid,  MGI:2448704
AFP,174,Afp,  MGI:87951
AFTPH,54812,Aftph,  MGI:1923012
AGA,175,Aga,  MGI:104873
AGAP1,116987,Agap1,  MGI:2653690
AGAP2,116986,Agap2,  MGI:3580016
AGAP3,116988,Agap3,  MGI:2183446
AGBL1,123624,Agbl1,  MGI:3646469
AGBL2,79841,Agbl2,  MGI:2443254
AGBL3,340351,Agbl3,  MGI:1923473
AGBL4,84871,Agbl4,  MGI:1918244
AGBL5,60509,Agbl5,  MGI:2441745
AGER,177,Ager,  MGI:893592
AGFG1,3267,Agfg1,  MGI:1333754
AGFG2,3268,Agfg2,  MGI:2443267
AGGF1,55109,Aggf1,  MGI:1913799
AGK,55750,Agk,  MGI:1917173
AGL,178,Agl,  MGI:1924809
AGMAT,79814,Agmat,  MGI:1923236
AGMO,392636,Agmo,  MGI:2442495
AGO1,26523,Ago1,  MGI:2446630
AGO2,27161,Ago2,  MGI:2446632
AGO3,192669,Ago3,  MGI:2446634
AGO4,192670,Ago4,  MGI:1924100
AGPAT1,10554,Agpat1,  MGI:1932075
AGPAT2,10555,Agpat2,  MGI:1914762
AGPAT3,56894,Agpat3,  MGI:1336186
AGPAT4,56895,Agpat4,  MGI:1915512
AGPAT5,55326,Agpat5,  MGI:1196345
AGPS,8540,Agps,  MGI:2443065
AGR2,10551,Agr2,  MGI:1344405
AGR3,155465,Agr3,  MGI:2685734
AGRN,375790,Agrn,  MGI:87961
AGRP,181,Agrp,  MGI:892013
AGT,183,Agt,  MGI:87963
AGTPBP1,23287,Agtpbp1,  MGI:2159437
AGTR1,185,Agtr1b,  MGI:87965
AGTR2,186,Agtr2,  MGI:87966
AGTRAP,57085,Agtrap,  MGI:1339977
AGXT,189,Agxt,  MGI:1329033
AGXT2,64902,Agxt2,  MGI:2146052
AHCTF1,25909,Ahctf1,  MGI:1915033
AHCY,191,Ahcy,  MGI:87968
AHCYL1,10768,Ahcyl1,  MGI:2385184
AHCYL2,23382,Ahcyl2,  MGI:1921590
AHDC1,27245,Ahdc1,  MGI:2444218
AHI1,54806,Ahi1,  MGI:87971
AHNAK,79026,Ahnak,  MGI:1316648
AHNAK2,113146,Ahnak2,  MGI:2144831
AHR,196,Ahr,  MGI:105043
AHRR,57491,Ahrr,  MGI:1333776
AHSA1,10598,Ahsa1,  MGI:2387603
AHSA2P,130872,Ahsa2,  MGI:1916133
AHSG,197,Ahsg,  MGI:107189
AHSP,51327,Ahsp,  MGI:2158492
AICDA,57379,Aicda,  MGI:1342279
AIDA,64853,Aida,  MGI:1919737
AIF1,199,Aif1,  MGI:1343098
AIF1L,83543,Aif1l,  MGI:1919598
AIFM1,9131,Aifm1,  MGI:1349419
AIFM2,84883,Aifm2,  MGI:1918611
AIFM3,150209,Aifm3,  MGI:1919418
AIG1,51390,Aig1,  MGI:1913503
AIM2,9447,Aim2,  MGI:2686159
AIMP1,9255,Aimp1,  MGI:102774
AIMP2,7965,Aimp2,  MGI:2385237
AIP,9049,Aip,  MGI:109622
AIPL1,23746,Aipl1,  MGI:2148800
AIRE,326,Aire,  MGI:1338803
AIRN,100271873,Airn,  MGI:1353471
AJAP1,55966,Ajap1,  MGI:2685419
AJM1,389813,Ajm1,  MGI:2685842
AJUBA,84962,Ajuba,  MGI:1341886
AK1,203,Ak1,  MGI:87977
AK2,204,Ak2,  MGI:87978
AK3,50808,Ak3,  MGI:1860835
AK4,205,Ak4,  MGI:87979
AK5,26289,Ak5,  MGI:2677491
AK6,102157402,Ak6,  MGI:5510732
AK7,122481,Ak7,  MGI:1926051
AK8,158067,Ak8,  MGI:1916120
AK9,221264,Ak9,  MGI:2685080
AKAIN1,642597,Akain1,  MGI:2444600
AKAP1,8165,Akap1,  MGI:104729
AKAP10,11216,Akap10,  MGI:1890218
AKAP11,11215,Akap11,  MGI:2684060
AKAP12,9590,Akap12,  MGI:1932576
AKAP13,11214,Akap13,  MGI:2676556
AKAP14,158798,Akap14,  MGI:3618288
AKAP17BP,139516,Akap17b,  MGI:2443758
AKAP3,10566,Akap3,  MGI:1341149
AKAP4,8852,Akap4,  MGI:102794
AKAP5,9495,Akap5,  MGI:2685104
AKAP6,9472,Akap6,  MGI:3050566
AKAP7,9465,Akap7,  MGI:1859150
AKAP8,10270,Akap8,  MGI:1928488
AKAP8L,26993,Akap8l,  MGI:1860606
AKAP9,10142,Akap9,  MGI:2178217
AKIP1,56672,Akip1,  MGI:3041226
AKIRIN1,79647,Akirin1,  MGI:1915300
AKIRIN2,55122,Akirin2,  MGI:1889364
AKNA,80709,Akna,  MGI:2140340
AKNAD1,254268,Aknad1,  MGI:3584453
AKR1A1,10327,Akr1a1,  MGI:1929955
AKR1B1,231,Akr1b3,  MGI:1353494
AKR1B10,57016,Akr1b10,  MGI:1915111
AKR1B10,57016,Akr1b7,  MGI:101918
AKR1B10,57016,Akr1b8,  MGI:107673
AKR1B15,441282,Akr1b10,  MGI:1915111
AKR1B15,441282,Akr1b7,  MGI:101918
AKR1B15,441282,Akr1b8,  MGI:107673
AKR1C1,1645,Akr1c21,  MGI:1924587
AKR1C2,1646,Akr1c21,  MGI:1924587
AKR1C3,8644,Akr1c18,  MGI:2145420
AKR1C4,1109,Akr1c6,  MGI:1933427
AKR1D1,6718,Akr1d1,  MGI:2384785
AKR1E2,83592,Akr1e1,  MGI:1914758
AKR7A2,8574,Akr7a5,  MGI:107796
AKR7A3,22977,Akr7a5,  MGI:107796
AKT1,207,Akt1,  MGI:87986
AKT1S1,84335,Akt1s1,  MGI:1914855
AKT2,208,Akt2,  MGI:104874
AKT3,10000,Akt3,  MGI:1345147
AKTIP,64400,Aktip,  MGI:3693832
ALAD,210,Alad,  MGI:96853
ALAS1,211,Alas1,  MGI:87989
ALAS2,212,Alas2,  MGI:87990
ALB,213,Alb,  MGI:87991
ALCAM,214,Alcam,  MGI:1313266
ALDH16A1,126133,Aldh16a1,  MGI:1916998
ALDH18A1,5832,Aldh18a1,  MGI:1888908
ALDH1A1,216,Aldh1a1,  MGI:1353450
ALDH1A1,216,Aldh1a7,  MGI:1347050
ALDH1A2,8854,Aldh1a2,  MGI:107928
ALDH1A3,220,Aldh1a3,  MGI:1861722
ALDH1B1,219,Aldh1b1,  MGI:1919785
ALDH1L1,10840,Aldh1l1,  MGI:1340024
ALDH1L2,160428,Aldh1l2,  MGI:2444680
ALDH2,217,Aldh2,  MGI:99600
ALDH3A1,218,Aldh3a1,  MGI:1353451
ALDH3A2,224,Aldh3a2,  MGI:1353452
ALDH3B1,221,Aldh3b1,  MGI:1914939
ALDH3B2,222,Aldh3b2,  MGI:2147613
ALDH3B2,222,Aldh3b3,  MGI:1920708
ALDH4A1,8659,Aldh4a1,  MGI:2443883
ALDH5A1,7915,Aldh5a1,  MGI:2441982
ALDH6A1,4329,Aldh6a1,  MGI:1915077
ALDH7A1,501,Aldh7a1,  MGI:108186
ALDH8A1,64577,Aldh8a1,  MGI:2653900
ALDH9A1,223,Aldh9a1,  MGI:1861622
ALDOA,226,Aldoa,  MGI:87994
ALDOB,229,Aldob,  MGI:87995
ALDOC,230,Aldoc,  MGI:101863
ALG1,56052,Alg1,  MGI:2384774
ALG10,84920,Alg10b,  MGI:2146159
ALG10B,144245,Alg10b,  MGI:2146159
ALG11,440138,Alg11,  MGI:2142632
ALG12,79087,Alg12,  MGI:2385025
ALG13,79868,Alg13,  MGI:1914824
ALG14,199857,Alg14,  MGI:1914039
ALG2,85365,Alg2,  MGI:1914731
ALG3,10195,Alg3,  MGI:1098592
ALG5,29880,Alg5,  MGI:1913498
ALG6,29929,Alg6,  MGI:2444031
ALG8,79053,Alg8,  MGI:2141959
ALG9,79796,Alg9,  MGI:1924753
ALK,238,Alk,  MGI:103305
ALKAL1,389658,Alkal1,  MGI:3645495
ALKAL2,285016,Alkal2,  MGI:3697448
ALKBH1,8846,Alkbh1,  MGI:2384034
ALKBH2,121642,Alkbh2,  MGI:2141032
ALKBH3,221120,Alkbh3,  MGI:1916363
ALKBH4,54784,Alkbh4,  MGI:1919291
ALKBH5,54890,Alkbh5,  MGI:2144489
ALKBH6,84964,Alkbh6,  MGI:2142037
ALKBH7,84266,Alkbh7,  MGI:1913650
ALKBH8,91801,Alkbh8,  MGI:1914917
ALLC,55821,Allc,  MGI:2136971
ALMS1,7840,Alms1,  MGI:1934606
ALOX12,239,Alox12,  MGI:87998
ALOX12B,242,Alox12b,  MGI:1274782
ALOX15,246,Alox15,  MGI:87997
ALOX15B,247,Alox8,  MGI:1098228
ALOX5,240,Alox5,  MGI:87999
ALOX5AP,241,Alox5ap,  MGI:107505
ALOXE3,59344,Aloxe3,  MGI:1345140
ALPG,251,Akp3,  MGI:87984
