NAME,DESCRIPTION,GENE_SYMBOL,GENE_TITLE,SCORE
SPART,spartin [Source:HGNC Symbol;Acc:HGNC:18514],null,null,1.4563134
LAMA2,laminin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6482],null,null,1.440531
SYT15,synaptotagmin 15 [Source:HGNC Symbol;Acc:HGNC:17167],null,null,1.440293
ATF7IP,activating transcription factor 7 interacting protein [Source:HGNC Symbol;Acc:HGNC:20092],null,null,1.42538
LONRF2,LON peptidase N-terminal domain and ring finger 2 [Source:HGNC Symbol;Acc:HGNC:24788],null,null,1.388296
TSC2,TSC complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:12363],null,null,1.3853077
SEMA6C,semaphorin 6C [Source:HGNC Symbol;Acc:HGNC:10740],null,null,1.3831142
ECM2,extracellular matrix protein 2 [Source:HGNC Symbol;Acc:HGNC:3154],null,null,1.3725336
OLFML2A,olfactomedin like 2A [Source:HGNC Symbol;Acc:HGNC:27270],null,null,1.3624568
KHNYN,KH and NYN domain containing [Source:HGNC Symbol;Acc:HGNC:20166],null,null,1.3566672
VASH1,vasohibin 1 [Source:HGNC Symbol;Acc:HGNC:19964],null,null,1.3558424
ZMYM4,zinc finger MYM-type containing 4 [Source:HGNC Symbol;Acc:HGNC:13055],null,null,1.3484427
ATP13A3,ATPase 13A3 [Source:HGNC Symbol;Acc:HGNC:24113],null,null,1.3466185
ST6GAL1,"ST6 beta-galactoside alpha-2,6-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10860]",null,null,1.3361821
PCDHB14,protocadherin beta 14 [Source:HGNC Symbol;Acc:HGNC:8685],null,null,1.3309339
TSPAN9,tetraspanin 9 [Source:HGNC Symbol;Acc:HGNC:21640],null,null,1.3210835
STRA8,stimulated by retinoic acid 8 [Source:HGNC Symbol;Acc:HGNC:30653],null,null,1.319319
PRICKLE2,prickle planar cell polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:20340],null,null,1.3175907
ST8SIA3,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:14269]",null,null,1.3028516
ADGRA2,adhesion G protein-coupled receptor A2 [Source:HGNC Symbol;Acc:HGNC:17849],null,null,1.3013182
CBX6,chromobox 6 [Source:HGNC Symbol;Acc:HGNC:1556],null,null,1.30023
HPSE2,heparanase 2 (inactive) [Source:HGNC Symbol;Acc:HGNC:18374],null,null,1.3000518
MBTD1,mbt domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19866],null,null,1.299754
PNMA2,PNMA family member 2 [Source:HGNC Symbol;Acc:HGNC:9159],null,null,1.2991124
DPY19L4,dpy-19 like 4 [Source:HGNC Symbol;Acc:HGNC:27829],null,null,1.295495
FAXC,"failed axon connections homolog, metaxin like GST domain containing [Source:HGNC Symbol;Acc:HGNC:20742]",null,null,1.2840781
ZNF174,zinc finger protein 174 [Source:HGNC Symbol;Acc:HGNC:12963],null,null,1.2825744
YTHDC2,YTH domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24721],null,null,1.2795208
PMS2,"PMS1 homolog 2, mismatch repair system component [Source:HGNC Symbol;Acc:HGNC:9122]",null,null,1.2782737
TENT5C,terminal nucleotidyltransferase 5C [Source:HGNC Symbol;Acc:HGNC:24712],null,null,1.2775455
STAG2,stromal antigen 2 [Source:HGNC Symbol;Acc:HGNC:11355],null,null,1.2770658
OTOP3,otopetrin 3 [Source:HGNC Symbol;Acc:HGNC:19658],null,null,1.2768761
HRH3,histamine receptor H3 [Source:HGNC Symbol;Acc:HGNC:5184],null,null,1.2753905
KPNA1,karyopherin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6394],null,null,1.2574179
OTUD4,OTU deubiquitinase 4 [Source:HGNC Symbol;Acc:HGNC:24949],null,null,1.2542156
SMAD9,SMAD family member 9 [Source:HGNC Symbol;Acc:HGNC:6774],null,null,1.2517189
LRRC4B,leucine rich repeat containing 4B [Source:HGNC Symbol;Acc:HGNC:25042],null,null,1.2423551
ITGA9,integrin subunit alpha 9 [Source:HGNC Symbol;Acc:HGNC:6145],null,null,1.2399045
VAT1L,vesicle amine transport 1 like [Source:HGNC Symbol;Acc:HGNC:29315],null,null,1.2358671
PGM5,phosphoglucomutase 5 [Source:HGNC Symbol;Acc:HGNC:8908],null,null,1.2354891
MFAP4,microfibril associated protein 4 [Source:HGNC Symbol;Acc:HGNC:7035],null,null,1.2326415
LCLAT1,lysocardiolipin acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26756],null,null,1.2296605
FRMD6,FERM domain containing 6 [Source:HGNC Symbol;Acc:HGNC:19839],null,null,1.2292928
MPDZ,multiple PDZ domain crumbs cell polarity complex component [Source:HGNC Symbol;Acc:HGNC:7208],null,null,1.2288117
COL4A6,collagen type IV alpha 6 chain [Source:HGNC Symbol;Acc:HGNC:2208],null,null,1.2271478
ZNF383,zinc finger protein 383 [Source:HGNC Symbol;Acc:HGNC:18609],null,null,1.2264609
ALG10B,"ALG10 alpha-1,2-glucosyltransferase B [Source:HGNC Symbol;Acc:HGNC:31088]",null,null,1.224861
NOL6,nucleolar protein 6 [Source:HGNC Symbol;Acc:HGNC:19910],null,null,1.2218897
KIF17,kinesin family member 17 [Source:HGNC Symbol;Acc:HGNC:19167],null,null,1.220614
CD34,CD34 molecule [Source:HGNC Symbol;Acc:HGNC:1662],null,null,1.217229
TNKS2,tankyrase 2 [Source:HGNC Symbol;Acc:HGNC:15677],null,null,1.2145334
PNMA8A,PNMA family member 8A [Source:HGNC Symbol;Acc:HGNC:25578],null,null,1.2123703
SH3RF3,SH3 domain containing ring finger 3 [Source:HGNC Symbol;Acc:HGNC:24699],null,null,1.200957
MUC20,"mucin 20, cell surface associated [Source:HGNC Symbol;Acc:HGNC:23282]",null,null,1.1952071
PCDHGA3,"protocadherin gamma subfamily A, 3 [Source:HGNC Symbol;Acc:HGNC:8701]",null,null,1.1946493
ATP8B2,ATPase phospholipid transporting 8B2 [Source:HGNC Symbol;Acc:HGNC:13534],null,null,1.1876189
PHF8,PHD finger protein 8 [Source:HGNC Symbol;Acc:HGNC:20672],null,null,1.185938
ACADSB,acyl-CoA dehydrogenase short/branched chain [Source:HGNC Symbol;Acc:HGNC:91],null,null,1.1859299
APOD,apolipoprotein D [Source:HGNC Symbol;Acc:HGNC:612],null,null,1.1853107
PDPR,pyruvate dehydrogenase phosphatase regulatory subunit [Source:HGNC Symbol;Acc:HGNC:30264],null,null,1.1849456
MRGPRF,MAS related GPR family member F [Source:HGNC Symbol;Acc:HGNC:24828],null,null,1.1840707
SEMA3D,semaphorin 3D [Source:HGNC Symbol;Acc:HGNC:10726],null,null,1.1821225
FSIP1,fibrous sheath interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:21674],null,null,1.1804988
PCDHB8,protocadherin beta 8 [Source:HGNC Symbol;Acc:HGNC:8693],null,null,1.1792711
TTC41P,"tetratricopeptide repeat domain 41, pseudogene [Source:HGNC Symbol;Acc:HGNC:49210]",null,null,1.1772561
ECEL1,endothelin converting enzyme like 1 [Source:HGNC Symbol;Acc:HGNC:3147],null,null,1.1753091
KCNK2,potassium two pore domain channel subfamily K member 2 [Source:HGNC Symbol;Acc:HGNC:6277],null,null,1.1751939
ABCA5,ATP binding cassette subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:35],null,null,1.1735753
PRRG3,proline rich and Gla domain 3 [Source:HGNC Symbol;Acc:HGNC:30798],null,null,1.172658
PTPRM,protein tyrosine phosphatase receptor type M [Source:HGNC Symbol;Acc:HGNC:9675],null,null,1.1715881
ADCYAP1R1,ADCYAP receptor type I [Source:HGNC Symbol;Acc:HGNC:242],null,null,1.1714549
TAB3,TGF-beta activated kinase 1 (MAP3K7) binding protein 3 [Source:HGNC Symbol;Acc:HGNC:30681],null,null,1.167863
IL6R,interleukin 6 receptor [Source:HGNC Symbol;Acc:HGNC:6019],null,null,1.166437
SHC4,SHC adaptor protein 4 [Source:HGNC Symbol;Acc:HGNC:16743],null,null,1.1661559
FNDC3A,fibronectin type III domain containing 3A [Source:HGNC Symbol;Acc:HGNC:20296],null,null,1.1654177
MSRB3,methionine sulfoxide reductase B3 [Source:HGNC Symbol;Acc:HGNC:27375],null,null,1.1593491
PTPRG,protein tyrosine phosphatase receptor type G [Source:HGNC Symbol;Acc:HGNC:9671],null,null,1.1578915
F2R,coagulation factor II thrombin receptor [Source:HGNC Symbol;Acc:HGNC:3537],null,null,1.1566706
PTGER1,prostaglandin E receptor 1 [Source:HGNC Symbol;Acc:HGNC:9593],null,null,1.1506003
GUCY1B1,guanylate cyclase 1 soluble subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4687],null,null,1.1497705
ZNF268,zinc finger protein 268 [Source:HGNC Symbol;Acc:HGNC:13061],null,null,1.1460259
UBR3,ubiquitin protein ligase E3 component n-recognin 3 [Source:HGNC Symbol;Acc:HGNC:30467],null,null,1.1438854
SGCD,sarcoglycan delta [Source:HGNC Symbol;Acc:HGNC:10807],null,null,1.1422625
ARHGAP5,Rho GTPase activating protein 5 [Source:HGNC Symbol;Acc:HGNC:675],null,null,1.1411363
RNF125,ring finger protein 125 [Source:HGNC Symbol;Acc:HGNC:21150],null,null,1.1398393
PUM2,pumilio RNA binding family member 2 [Source:HGNC Symbol;Acc:HGNC:14958],null,null,1.1397976
EVC,EvC ciliary complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:3497],null,null,1.1356938
SLC9A6,solute carrier family 9 member A6 [Source:HGNC Symbol;Acc:HGNC:11079],null,null,1.1354057
TRDMT1,tRNA aspartic acid methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:2977],null,null,1.1348395
MAN2A2,mannosidase alpha class 2A member 2 [Source:HGNC Symbol;Acc:HGNC:6825],null,null,1.1347853
NHS,NHS actin remodeling regulator [Source:HGNC Symbol;Acc:HGNC:7820],null,null,1.1297998
PDE3B,phosphodiesterase 3B [Source:HGNC Symbol;Acc:HGNC:8779],null,null,1.1294149
ARRDC3,arrestin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29263],null,null,1.1257069
SYT6,synaptotagmin 6 [Source:HGNC Symbol;Acc:HGNC:18638],null,null,1.1250713
EVI5,ecotropic viral integration site 5 [Source:HGNC Symbol;Acc:HGNC:3501],null,null,1.1249881
F2RL3,F2R like thrombin or trypsin receptor 3 [Source:HGNC Symbol;Acc:HGNC:3540],null,null,1.1237457
ARRB1,arrestin beta 1 [Source:HGNC Symbol;Acc:HGNC:711],null,null,1.122181
SP1,Sp1 transcription factor [Source:HGNC Symbol;Acc:HGNC:11205],null,null,1.1215655
MBNL1,muscleblind like splicing regulator 1 [Source:HGNC Symbol;Acc:HGNC:6923],null,null,1.1182823
CNOT1,CCR4-NOT transcription complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:7877],null,null,1.1129841
GALNT16,polypeptide N-acetylgalactosaminyltransferase 16 [Source:HGNC Symbol;Acc:HGNC:23233],null,null,1.109078
UBAP2,ubiquitin associated protein 2 [Source:HGNC Symbol;Acc:HGNC:14185],null,null,1.1073426
OLFM2,olfactomedin 2 [Source:HGNC Symbol;Acc:HGNC:17189],null,null,1.1059523
ADGRE1,adhesion G protein-coupled receptor E1 [Source:HGNC Symbol;Acc:HGNC:3336],null,null,1.1051476
NFATC4,nuclear factor of activated T cells 4 [Source:HGNC Symbol;Acc:HGNC:7778],null,null,1.1048596
GPR68,G protein-coupled receptor 68 [Source:HGNC Symbol;Acc:HGNC:4519],null,null,1.1045322
SLC22A23,solute carrier family 22 member 23 [Source:HGNC Symbol;Acc:HGNC:21106],null,null,1.1009228
GATAD2B,GATA zinc finger domain containing 2B [Source:HGNC Symbol;Acc:HGNC:30778],null,null,1.0984659
NRIP1,nuclear receptor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:8001],null,null,1.0982864
NIBAN1,niban apoptosis regulator 1 [Source:HGNC Symbol;Acc:HGNC:16784],null,null,1.0979387
FIBIN,fin bud initiation factor homolog [Source:HGNC Symbol;Acc:HGNC:33747],null,null,1.0969675
ZNF354C,zinc finger protein 354C [Source:HGNC Symbol;Acc:HGNC:16736],null,null,1.0959888
LYSMD3,LysM domain containing 3 [Source:HGNC Symbol;Acc:HGNC:26969],null,null,1.0930457
NAA25,"N(alpha)-acetyltransferase 25, NatB auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:25783]",null,null,1.092597
USP22,ubiquitin specific peptidase 22 [Source:HGNC Symbol;Acc:HGNC:12621],null,null,1.0909166
MOXD1,monooxygenase DBH like 1 [Source:HGNC Symbol;Acc:HGNC:21063],null,null,1.0823915
PIRT,phosphoinositide interacting regulator of transient receptor potential channels [Source:HGNC Symbol;Acc:HGNC:37239],null,null,1.0823836
CD93,CD93 molecule [Source:HGNC Symbol;Acc:HGNC:15855],null,null,1.0781814
IL6ST,interleukin 6 signal transducer [Source:HGNC Symbol;Acc:HGNC:6021],null,null,1.0729233
BTBD7,BTB domain containing 7 [Source:HGNC Symbol;Acc:HGNC:18269],null,null,1.0691167
ADGRE5,adhesion G protein-coupled receptor E5 [Source:HGNC Symbol;Acc:HGNC:1711],null,null,1.068927
TLR8,toll like receptor 8 [Source:HGNC Symbol;Acc:HGNC:15632],null,null,1.066409
ARHGAP28,Rho GTPase activating protein 28 [Source:HGNC Symbol;Acc:HGNC:25509],null,null,1.0635557
KCNMB2,potassium calcium-activated channel subfamily M regulatory beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:6286],null,null,1.0634198
IPO8,importin 8 [Source:HGNC Symbol;Acc:HGNC:9853],null,null,1.0622083
C2orf88,chromosome 2 open reading frame 88 [Source:HGNC Symbol;Acc:HGNC:28191],null,null,1.0617136
ST8SIA4,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:10871]",null,null,1.0613253
ADAMDEC1,ADAM like decysin 1 [Source:HGNC Symbol;Acc:HGNC:16299],null,null,1.0598341
FIBCD1,fibrinogen C domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25922],null,null,1.0585063
ZNF536,zinc finger protein 536 [Source:HGNC Symbol;Acc:HGNC:29025],null,null,1.0534313
PHC1,polyhomeotic homolog 1 [Source:HGNC Symbol;Acc:HGNC:3182],null,null,1.0534295
SPPL3,signal peptide peptidase like 3 [Source:HGNC Symbol;Acc:HGNC:30424],null,null,1.0511949
DNAJC28,DnaJ heat shock protein family (Hsp40) member C28 [Source:HGNC Symbol;Acc:HGNC:1297],null,null,1.0499344
MR1,"major histocompatibility complex, class I-related [Source:HGNC Symbol;Acc:HGNC:4975]",null,null,1.0489957
SORCS2,sortilin related VPS10 domain containing receptor 2 [Source:HGNC Symbol;Acc:HGNC:16698],null,null,1.0485097
AAK1,AP2 associated kinase 1 [Source:HGNC Symbol;Acc:HGNC:19679],null,null,1.0484078
SLC44A1,solute carrier family 44 member 1 [Source:HGNC Symbol;Acc:HGNC:18798],null,null,1.0482498
RALGAPB,Ral GTPase activating protein non-catalytic beta subunit [Source:HGNC Symbol;Acc:HGNC:29221],null,null,1.0467305
MAST3,microtubule associated serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:19036],null,null,1.0462639
ANTXR1,ANTXR cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:21014],null,null,1.0459805
TMEM214,transmembrane protein 214 [Source:HGNC Symbol;Acc:HGNC:25983],null,null,1.0446726
JADE1,jade family PHD finger 1 [Source:HGNC Symbol;Acc:HGNC:30027],null,null,1.0441841
TIE1,tyrosine kinase with immunoglobulin like and EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:11809],null,null,1.0422976
FHDC1,FH2 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29363],null,null,1.0408366
PLCB1,phospholipase C beta 1 [Source:HGNC Symbol;Acc:HGNC:15917],null,null,1.0403656
CEP192,centrosomal protein 192 [Source:HGNC Symbol;Acc:HGNC:25515],null,null,1.0396717
HUWE1,"HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:30892]",null,null,1.0376216
DSG4,desmoglein 4 [Source:HGNC Symbol;Acc:HGNC:21307],null,null,1.0369457
KIF1B,kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636],null,null,1.03659
RBM33,RNA binding motif protein 33 [Source:HGNC Symbol;Acc:HGNC:27223],null,null,1.0341705
KCNN3,potassium calcium-activated channel subfamily N member 3 [Source:HGNC Symbol;Acc:HGNC:6292],null,null,1.0329998
GRIA3,glutamate ionotropic receptor AMPA type subunit 3 [Source:HGNC Symbol;Acc:HGNC:4573],null,null,1.0324535
GPC6,glypican 6 [Source:HGNC Symbol;Acc:HGNC:4454],null,null,1.0316219
CLPB,"ClpB homolog, mitochondrial AAA ATPase chaperonin [Source:HGNC Symbol;Acc:HGNC:30664]",null,null,1.0302013
PAMR1,peptidase domain containing associated with muscle regeneration 1 [Source:HGNC Symbol;Acc:HGNC:24554],null,null,1.0297867
MBLAC2,metallo-beta-lactamase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:33711],null,null,1.0290312
ARHGEF15,Rho guanine nucleotide exchange factor 15 [Source:HGNC Symbol;Acc:HGNC:15590],null,null,1.0283097
GLT8D2,glycosyltransferase 8 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24890],null,null,1.0270422
SLC14A1,solute carrier family 14 member 1 (Kidd blood group) [Source:HGNC Symbol;Acc:HGNC:10918],null,null,1.0259745
TECR,"trans-2,3-enoyl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:4551]",null,null,1.0216666
SLCO2B1,solute carrier organic anion transporter family member 2B1 [Source:HGNC Symbol;Acc:HGNC:10962],null,null,1.0210407
PTPRD,protein tyrosine phosphatase receptor type D [Source:HGNC Symbol;Acc:HGNC:9668],null,null,1.0209053
PTAR1,protein prenyltransferase alpha subunit repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:30449],null,null,1.019428
UBE3B,ubiquitin protein ligase E3B [Source:HGNC Symbol;Acc:HGNC:13478],null,null,1.0162071
OTUD7A,OTU deubiquitinase 7A [Source:HGNC Symbol;Acc:HGNC:20718],null,null,1.0154504
CCDC92B,coiled-coil domain containing 92B [Source:HGNC Symbol;Acc:HGNC:52279],null,null,1.0140464
TLN1,talin 1 [Source:HGNC Symbol;Acc:HGNC:11845],null,null,1.0137029
GK5,glycerol kinase 5 [Source:HGNC Symbol;Acc:HGNC:28635],null,null,1.0131546
LRRC31,leucine rich repeat containing 31 [Source:HGNC Symbol;Acc:HGNC:26261],null,null,1.0129629
ZCCHC14,zinc finger CCHC-type containing 14 [Source:HGNC Symbol;Acc:HGNC:24134],null,null,1.0117505
KLHL11,kelch like family member 11 [Source:HGNC Symbol;Acc:HGNC:19008],null,null,1.0114543
COLEC10,collectin subfamily member 10 [Source:HGNC Symbol;Acc:HGNC:2220],null,null,1.0109107
NYNRIN,NYN domain and retroviral integrase containing [Source:HGNC Symbol;Acc:HGNC:20165],null,null,1.01064
C1QTNF9,C1q and TNF related 9 [Source:HGNC Symbol;Acc:HGNC:28732],null,null,1.0105987
TM4SF19,transmembrane 4 L six family member 19 [Source:HGNC Symbol;Acc:HGNC:25167],null,null,1.0038079
RHOBTB3,Rho related BTB domain containing 3 [Source:HGNC Symbol;Acc:HGNC:18757],null,null,1.0035226
GPR161,G protein-coupled receptor 161 [Source:HGNC Symbol;Acc:HGNC:23694],null,null,1.003235
TNFSF4,TNF superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:11934],null,null,1.0025433
BCL6B,BCL6B transcription repressor [Source:HGNC Symbol;Acc:HGNC:1002],null,null,1.001563
POLR1A,RNA polymerase I subunit A [Source:HGNC Symbol;Acc:HGNC:17264],null,null,1.0009291
ELFN1,extracellular leucine rich repeat and fibronectin type III domain containing 1 [Source:HGNC Symbol;Acc:HGNC:33154],null,null,1.0002104
ITSN1,intersectin 1 [Source:HGNC Symbol;Acc:HGNC:6183],null,null,0.99947613
ATP6V1A,ATPase H+ transporting V1 subunit A [Source:HGNC Symbol;Acc:HGNC:851],null,null,0.9969899
MYO1B,myosin IB [Source:HGNC Symbol;Acc:HGNC:7596],null,null,0.99518704
FAM120C,family with sequence similarity 120C [Source:HGNC Symbol;Acc:HGNC:16949],null,null,0.9912164
CCN3,cellular communication network factor 3 [Source:HGNC Symbol;Acc:HGNC:7885],null,null,0.9910292
CRABP1,cellular retinoic acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2338],null,null,0.99001545
EPHA4,EPH receptor A4 [Source:HGNC Symbol;Acc:HGNC:3388],null,null,0.9899786
PCDHGB4,"protocadherin gamma subfamily B, 4 [Source:HGNC Symbol;Acc:HGNC:8711]",null,null,0.9877133
GBE1,"1,4-alpha-glucan branching enzyme 1 [Source:HGNC Symbol;Acc:HGNC:4180]",null,null,0.9854115
SLC39A10,solute carrier family 39 member 10 [Source:HGNC Symbol;Acc:HGNC:20861],null,null,0.98529273
KLRB1,killer cell lectin like receptor B1 [Source:HGNC Symbol;Acc:HGNC:6373],null,null,0.982113
LDLRAD4,low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:HGNC:1224],null,null,0.98147315
ANGPT1,angiopoietin 1 [Source:HGNC Symbol;Acc:HGNC:484],null,null,0.98079276
LARGE2,LARGE xylosyl- and glucuronyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16522],null,null,0.980466
TTC23,tetratricopeptide repeat domain 23 [Source:HGNC Symbol;Acc:HGNC:25730],null,null,0.9793283
UBR5,ubiquitin protein ligase E3 component n-recognin 5 [Source:HGNC Symbol;Acc:HGNC:16806],null,null,0.9783876
SLC6A15,solute carrier family 6 member 15 [Source:HGNC Symbol;Acc:HGNC:13621],null,null,0.97809887
TMEM106B,transmembrane protein 106B [Source:HGNC Symbol;Acc:HGNC:22407],null,null,0.97804075
THBS2,thrombospondin 2 [Source:HGNC Symbol;Acc:HGNC:11786],null,null,0.9774248
MOSMO,modulator of smoothened [Source:HGNC Symbol;Acc:HGNC:27087],null,null,0.9772521
ZNF664,zinc finger protein 664 [Source:HGNC Symbol;Acc:HGNC:25406],null,null,0.9744638
SERINC1,serine incorporator 1 [Source:HGNC Symbol;Acc:HGNC:13464],null,null,0.9744356
ROR1,receptor tyrosine kinase like orphan receptor 1 [Source:HGNC Symbol;Acc:HGNC:10256],null,null,0.9744317
ABCC2,ATP binding cassette subfamily C member 2 [Source:HGNC Symbol;Acc:HGNC:53],null,null,0.97082406
NMUR2,neuromedin U receptor 2 [Source:HGNC Symbol;Acc:HGNC:16454],null,null,0.96944606
MFN2,mitofusin 2 [Source:HGNC Symbol;Acc:HGNC:16877],null,null,0.96781766
ITGB7,integrin subunit beta 7 [Source:HGNC Symbol;Acc:HGNC:6162],null,null,0.9660085
DACH1,dachshund family transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:2663],null,null,0.9648194
ATXN1L,ataxin 1 like [Source:HGNC Symbol;Acc:HGNC:33279],null,null,0.96415687
GABRA3,gamma-aminobutyric acid type A receptor alpha3 subunit [Source:HGNC Symbol;Acc:HGNC:4077],null,null,0.961462
SNRK,SNF related kinase [Source:HGNC Symbol;Acc:HGNC:30598],null,null,0.96134716
PTPN14,protein tyrosine phosphatase non-receptor type 14 [Source:HGNC Symbol;Acc:HGNC:9647],null,null,0.9592564
VPS13A,vacuolar protein sorting 13 homolog A [Source:HGNC Symbol;Acc:HGNC:1908],null,null,0.957693
PPP1R12B,protein phosphatase 1 regulatory subunit 12B [Source:HGNC Symbol;Acc:HGNC:7619],null,null,0.95756316
ATL3,atlastin GTPase 3 [Source:HGNC Symbol;Acc:HGNC:24526],null,null,0.9568154
NID2,nidogen 2 [Source:HGNC Symbol;Acc:HGNC:13389],null,null,0.95666414
MANBA,mannosidase beta [Source:HGNC Symbol;Acc:HGNC:6831],null,null,0.95643014
ADGRD1,adhesion G protein-coupled receptor D1 [Source:HGNC Symbol;Acc:HGNC:19893],null,null,0.9555683
AKAP6,A-kinase anchoring protein 6 [Source:HGNC Symbol;Acc:HGNC:376],null,null,0.95408905
NEDD4,NEDD4 E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:7727],null,null,0.95380485
NCOA2,nuclear receptor coactivator 2 [Source:HGNC Symbol;Acc:HGNC:7669],null,null,0.9537893
SYP,synaptophysin [Source:HGNC Symbol;Acc:HGNC:11506],null,null,0.95123655
TUBGCP3,tubulin gamma complex associated protein 3 [Source:HGNC Symbol;Acc:HGNC:18598],null,null,0.95067585
MOB3B,MOB kinase activator 3B [Source:HGNC Symbol;Acc:HGNC:23825],null,null,0.94982505
ZNF780A,zinc finger protein 780A [Source:HGNC Symbol;Acc:HGNC:27603],null,null,0.9491104
ADORA1,adenosine A1 receptor [Source:HGNC Symbol;Acc:HGNC:262],null,null,0.94910115
STON1,stonin 1 [Source:HGNC Symbol;Acc:HGNC:17003],null,null,0.9489493
RAB23,"RAB23, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:14263]",null,null,0.9487678
PGAP1,post-GPI attachment to proteins inositol deacylase 1 [Source:HGNC Symbol;Acc:HGNC:25712],null,null,0.9481368
SLC15A3,solute carrier family 15 member 3 [Source:HGNC Symbol;Acc:HGNC:18068],null,null,0.94593424
ROR2,receptor tyrosine kinase like orphan receptor 2 [Source:HGNC Symbol;Acc:HGNC:10257],null,null,0.9455956
INTS7,integrator complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:24484],null,null,0.9447237
CNR1,cannabinoid receptor 1 [Source:HGNC Symbol;Acc:HGNC:2159],null,null,0.9447006
